batch	avg_loss	avg_acc	batch_acc	perp
102	2.965	0.079	0.094	19.402
103	2.965	0.079	0.081	19.396
104	2.964	0.079	0.075	19.382
105	2.964	0.079	0.100	19.366
106	2.962	0.080	0.138	19.332
107	2.961	0.079	0.075	19.312
108	2.959	0.079	0.069	19.284
109	2.959	0.079	0.031	19.281
110	2.958	0.079	0.069	19.261
111	2.957	0.079	0.094	19.235
112	2.956	0.079	0.075	19.222
113	2.954	0.079	0.125	19.192
114	2.954	0.079	0.062	19.189
115	2.953	0.079	0.081	19.167
116	2.953	0.079	0.069	19.155
117	2.951	0.079	0.106	19.131
118	2.950	0.079	0.069	19.110
119	2.949	0.079	0.106	19.091
120	2.949	0.079	0.069	19.089
121	2.949	0.079	0.081	19.088
122	2.948	0.079	0.062	19.073
123	2.947	0.079	0.094	19.048
124	2.945	0.080	0.119	19.016
125	2.945	0.080	0.075	19.003
126	2.944	0.080	0.084	18.987
127	2.943	0.080	0.075	18.980
128	2.943	0.079	0.050	18.965
129	2.941	0.080	0.131	18.939
130	2.940	0.080	0.069	18.915
131	2.940	0.080	0.067	18.911
1	2.843	0.081	0.081	17.164
2	2.866	0.084	0.087	17.562
3	2.845	0.100	0.131	17.201
4	2.848	0.091	0.062	17.258
5	2.828	0.095	0.112	16.906
6	2.822	0.093	0.081	16.814
7	2.829	0.090	0.075	16.928
8	2.830	0.085	0.050	16.946
9	2.825	0.085	0.087	16.853
10	2.818	0.084	0.075	16.737
11	2.813	0.085	0.087	16.662
12	2.818	0.087	0.112	16.739
13	2.811	0.089	0.112	16.634
14	2.820	0.090	0.100	16.773
15	2.825	0.090	0.100	16.868
16	2.818	0.094	0.144	16.745
17	2.818	0.094	0.094	16.736
18	2.820	0.093	0.087	16.785
19	2.814	0.097	0.156	16.679
20	2.818	0.095	0.062	16.737
21	2.816	0.095	0.087	16.703
22	2.813	0.095	0.112	16.663
23	2.813	0.096	0.119	16.665
24	2.816	0.095	0.069	16.707
25	2.816	0.095	0.100	16.703
26	2.812	0.097	0.138	16.650
27	2.815	0.097	0.087	16.688
28	2.812	0.097	0.101	16.651
29	2.811	0.096	0.081	16.625
30	2.811	0.097	0.112	16.627
31	2.814	0.097	0.106	16.680
32	2.814	0.098	0.112	16.674
33	2.815	0.097	0.069	16.691
34	2.817	0.098	0.131	16.721
35	2.815	0.099	0.125	16.698
36	2.814	0.098	0.081	16.678
37	2.813	0.099	0.119	16.658
38	2.814	0.098	0.075	16.682
39	2.813	0.099	0.131	16.657
40	2.813	0.098	0.075	16.666
41	2.813	0.099	0.119	16.657
42	2.813	0.099	0.100	16.659
43	2.814	0.099	0.106	16.671
44	2.814	0.099	0.087	16.684
45	2.814	0.099	0.087	16.675
46	2.814	0.099	0.100	16.677
47	2.813	0.098	0.081	16.655
48	2.813	0.098	0.081	16.666
49	2.813	0.098	0.112	16.653
50	2.811	0.099	0.131	16.623
51	2.809	0.099	0.112	16.593
52	2.809	0.099	0.106	16.586
53	2.809	0.099	0.094	16.590
54	2.809	0.099	0.087	16.590
55	2.810	0.099	0.081	16.605
56	2.809	0.099	0.110	16.601
57	2.808	0.098	0.081	16.584
58	2.809	0.098	0.094	16.596
59	2.810	0.098	0.069	16.615
60	2.811	0.098	0.094	16.625
61	2.811	0.098	0.081	16.625
62	2.809	0.098	0.119	16.595
63	2.808	0.098	0.106	16.577
64	2.809	0.098	0.075	16.585
65	2.808	0.097	0.069	16.584
66	2.809	0.097	0.100	16.589
67	2.809	0.098	0.119	16.601
68	2.811	0.098	0.100	16.622
69	2.811	0.098	0.125	16.635
70	2.810	0.098	0.125	16.610
71	2.808	0.099	0.112	16.583
72	2.809	0.098	0.025	16.588
73	2.809	0.098	0.106	16.590
74	2.809	0.097	0.069	16.585
75	2.809	0.097	0.087	16.590
76	2.808	0.097	0.075	16.583
77	2.808	0.097	0.138	16.576
78	2.809	0.097	0.069	16.585
79	2.808	0.097	0.112	16.582
80	2.807	0.097	0.100	16.564
81	2.807	0.098	0.135	16.568
82	2.808	0.097	0.077	16.580
83	2.808	0.098	0.125	16.579
84	2.807	0.098	0.087	16.567
85	2.806	0.098	0.150	16.537
86	2.805	0.098	0.112	16.533
87	2.805	0.098	0.075	16.532
88	2.805	0.099	0.138	16.527
89	2.804	0.099	0.169	16.512
90	2.804	0.100	0.162	16.503
91	2.804	0.100	0.069	16.507
92	2.804	0.100	0.094	16.508
93	2.804	0.100	0.081	16.503
94	2.803	0.100	0.144	16.489
95	2.803	0.100	0.094	16.488
96	2.803	0.100	0.125	16.487
97	2.803	0.100	0.106	16.495
98	2.803	0.100	0.094	16.491
99	2.803	0.100	0.075	16.495
100	2.803	0.100	0.094	16.501
101	2.804	0.100	0.131	16.504
102	2.804	0.100	0.069	16.504
103	2.803	0.100	0.100	16.497
104	2.802	0.100	0.094	16.483
105	2.803	0.100	0.081	16.491
106	2.803	0.099	0.081	16.496
107	2.803	0.100	0.138	16.491
108	2.803	0.100	0.123	16.489
109	2.803	0.100	0.050	16.501
110	2.803	0.100	0.138	16.500
111	2.802	0.100	0.138	16.483
112	2.802	0.100	0.087	16.482
113	2.803	0.100	0.100	16.486
114	2.802	0.100	0.087	16.483
115	2.802	0.100	0.100	16.473
116	2.802	0.100	0.100	16.469
117	2.802	0.100	0.081	16.475
118	2.802	0.100	0.075	16.480
119	2.802	0.100	0.112	16.476
120	2.802	0.100	0.094	16.478
121	2.802	0.099	0.050	16.481
122	2.803	0.099	0.069	16.487
123	2.802	0.099	0.100	16.481
124	2.802	0.099	0.106	16.472
125	2.801	0.099	0.106	16.467
126	2.802	0.099	0.087	16.470
127	2.801	0.099	0.094	16.467
128	2.801	0.099	0.112	16.460
129	2.801	0.099	0.094	16.459
130	2.800	0.099	0.106	16.452
131	2.800	0.099	0.133	16.450
1	2.759	0.075	0.075	15.780
2	2.793	0.081	0.087	16.330
3	2.805	0.088	0.100	16.522
4	2.791	0.092	0.106	16.299
5	2.808	0.084	0.050	16.574
6	2.809	0.093	0.138	16.590
7	2.814	0.094	0.100	16.678
8	2.816	0.091	0.069	16.717
9	2.803	0.092	0.100	16.489
10	2.798	0.099	0.169	16.407
11	2.792	0.103	0.138	16.320
12	2.793	0.101	0.084	16.331
13	2.796	0.101	0.094	16.371
14	2.792	0.100	0.087	16.313
15	2.787	0.101	0.112	16.230
16	2.787	0.098	0.056	16.225
17	2.783	0.099	0.119	16.173
18	2.783	0.100	0.119	16.171
19	2.785	0.100	0.100	16.205
20	2.783	0.101	0.125	16.169
21	2.782	0.103	0.125	16.144
22	2.779	0.106	0.169	16.106
23	2.778	0.106	0.125	16.079
24	2.774	0.107	0.131	16.027
25	2.776	0.107	0.100	16.050
26	2.775	0.107	0.094	16.046
27	2.778	0.105	0.056	16.089
28	2.779	0.105	0.106	16.096
29	2.775	0.106	0.138	16.036
30	2.774	0.106	0.112	16.019
31	2.772	0.107	0.138	15.993
32	2.773	0.108	0.131	16.006
33	2.772	0.108	0.106	15.991
34	2.769	0.109	0.150	15.947
35	2.769	0.109	0.106	15.950
36	2.770	0.109	0.113	15.958
37	2.769	0.109	0.087	15.944
38	2.768	0.109	0.138	15.923
39	2.766	0.109	0.106	15.892
40	2.766	0.110	0.125	15.895
41	2.767	0.110	0.125	15.906
42	2.767	0.109	0.075	15.908
43	2.767	0.108	0.050	15.903
44	2.767	0.107	0.081	15.904
45	2.765	0.107	0.106	15.887
46	2.767	0.107	0.081	15.912
47	2.768	0.107	0.125	15.924
48	2.767	0.108	0.138	15.908
49	2.766	0.108	0.131	15.895
50	2.767	0.108	0.087	15.905
51	2.768	0.107	0.069	15.930
52	2.767	0.107	0.106	15.915
53	2.767	0.108	0.138	15.905
54	2.764	0.108	0.138	15.869
55	2.763	0.109	0.162	15.847
56	2.762	0.110	0.150	15.826
57	2.762	0.110	0.100	15.832
58	2.761	0.110	0.144	15.810
59	2.761	0.109	0.044	15.821
60	2.761	0.109	0.131	15.814
61	2.760	0.109	0.106	15.798
62	2.761	0.109	0.081	15.817
63	2.761	0.110	0.144	15.819
64	2.760	0.109	0.100	15.796
65	2.759	0.109	0.100	15.787
66	2.760	0.109	0.119	15.795
67	2.760	0.109	0.119	15.797
68	2.761	0.110	0.112	15.811
69	2.761	0.109	0.106	15.823
70	2.761	0.109	0.106	15.817
71	2.761	0.109	0.100	15.809
72	2.762	0.109	0.075	15.828
73	2.761	0.109	0.100	15.821
74	2.761	0.109	0.144	15.819
75	2.760	0.109	0.119	15.807
76	2.761	0.109	0.094	15.817
77	2.760	0.109	0.106	15.806
78	2.759	0.109	0.131	15.790
79	2.760	0.109	0.087	15.795
80	2.758	0.110	0.150	15.773
81	2.759	0.109	0.094	15.779
82	2.758	0.110	0.125	15.769
83	2.758	0.109	0.100	15.767
84	2.757	0.110	0.112	15.754
85	2.757	0.109	0.087	15.751
86	2.756	0.109	0.112	15.730
87	2.756	0.109	0.106	15.733
88	2.755	0.110	0.138	15.724
89	2.755	0.110	0.112	15.724
90	2.755	0.109	0.094	15.717
91	2.754	0.109	0.096	15.713
92	2.755	0.109	0.112	15.719
93	2.755	0.109	0.056	15.728
94	2.755	0.109	0.125	15.723
95	2.756	0.109	0.081	15.735
96	2.756	0.108	0.062	15.739
97	2.756	0.108	0.087	15.745
98	2.756	0.108	0.150	15.732
99	2.755	0.108	0.119	15.728
100	2.755	0.109	0.125	15.720
101	2.755	0.109	0.112	15.716
102	2.753	0.109	0.138	15.692
103	2.752	0.110	0.169	15.675
104	2.752	0.110	0.106	15.675
105	2.751	0.110	0.181	15.660
106	2.751	0.110	0.077	15.655
107	2.752	0.109	0.062	15.669
108	2.752	0.109	0.062	15.676
109	2.752	0.109	0.138	15.678
110	2.752	0.109	0.119	15.675
111	2.752	0.109	0.094	15.680
112	2.753	0.109	0.114	15.685
113	2.753	0.109	0.112	15.688
114	2.752	0.109	0.119	15.680
115	2.752	0.110	0.144	15.681
116	2.753	0.110	0.119	15.685
117	2.752	0.110	0.138	15.680
118	2.753	0.110	0.075	15.689
119	2.753	0.109	0.081	15.685
120	2.752	0.109	0.094	15.680
121	2.752	0.109	0.125	15.677
122	2.752	0.109	0.069	15.680
123	2.752	0.109	0.112	15.681
124	2.753	0.109	0.081	15.686
125	2.753	0.109	0.103	15.689
126	2.753	0.109	0.106	15.684
127	2.753	0.109	0.119	15.685
128	2.753	0.109	0.100	15.690
129	2.754	0.109	0.081	15.700
130	2.753	0.109	0.131	15.693
131	2.754	0.109	0.033	15.699
