batch	avg_loss	avg_acc	batch_acc	perp
1	4.223	0.019	0.019	68.268
2	4.058	0.044	0.069	57.860
3	3.910	0.050	0.062	49.914
4	3.791	0.052	0.056	44.308
5	3.701	0.052	0.051	40.481
6	3.614	0.055	0.075	37.122
7	3.552	0.056	0.062	34.869
8	3.527	0.058	0.069	34.018
9	3.474	0.058	0.056	32.251
10	3.433	0.055	0.031	30.968
11	3.398	0.060	0.106	29.901
12	3.359	0.066	0.138	28.759
13	3.331	0.066	0.062	27.963
14	3.300	0.069	0.106	27.115
15	3.283	0.068	0.062	26.646
16	3.269	0.072	0.125	26.280
17	3.260	0.071	0.056	26.042
18	3.248	0.070	0.056	25.750
19	3.232	0.071	0.087	25.324
20	3.222	0.070	0.044	25.072
21	3.205	0.071	0.087	24.656
22	3.191	0.070	0.050	24.318
23	3.183	0.069	0.050	24.114
24	3.179	0.069	0.069	24.028
25	3.168	0.068	0.050	23.762
26	3.160	0.068	0.075	23.576
27	3.151	0.068	0.069	23.366
28	3.144	0.069	0.075	23.193
29	3.139	0.069	0.069	23.082
30	3.131	0.070	0.100	22.899
31	3.126	0.070	0.087	22.784
32	3.125	0.071	0.087	22.761
33	3.118	0.071	0.069	22.600
34	3.112	0.071	0.069	22.467
35	3.107	0.070	0.044	22.364
36	3.104	0.070	0.081	22.280
37	3.098	0.070	0.081	22.158
38	3.095	0.070	0.069	22.093
39	3.090	0.071	0.087	21.983
40	3.084	0.072	0.112	21.854
41	3.082	0.072	0.062	21.791
42	3.076	0.073	0.119	21.676
43	3.073	0.073	0.081	21.607
44	3.071	0.073	0.075	21.555
45	3.067	0.073	0.081	21.471
46	3.064	0.073	0.044	21.419
47	3.060	0.073	0.087	21.327
48	3.058	0.073	0.075	21.279
49	3.056	0.073	0.075	21.233
50	3.051	0.073	0.050	21.144
51	3.048	0.073	0.094	21.076
52	3.044	0.073	0.087	20.988
53	3.041	0.073	0.081	20.924
54	3.039	0.073	0.050	20.880
55	3.035	0.074	0.112	20.805
56	3.032	0.074	0.087	20.737
57	3.030	0.074	0.081	20.708
58	3.028	0.074	0.094	20.646
59	3.026	0.075	0.087	20.618
60	3.025	0.074	0.056	20.597
61	3.022	0.075	0.100	20.541
62	3.021	0.075	0.062	20.518
63	3.020	0.075	0.075	20.481
64	3.018	0.075	0.087	20.442
65	3.017	0.075	0.081	20.423
66	3.015	0.075	0.056	20.398
67	3.013	0.075	0.094	20.348
68	3.012	0.075	0.075	20.325
69	3.009	0.075	0.107	20.275
70	3.009	0.075	0.044	20.258
71	3.007	0.075	0.069	20.225
72	3.006	0.075	0.112	20.210
73	3.006	0.075	0.075	20.198
74	3.004	0.075	0.075	20.157
75	3.002	0.075	0.087	20.118
76	3.000	0.076	0.087	20.078
77	2.997	0.076	0.125	20.018
78	2.994	0.076	0.062	19.959
79	2.992	0.077	0.112	19.921
80	2.991	0.076	0.069	19.900
81	2.989	0.077	0.084	19.860
82	2.988	0.076	0.063	19.843
83	2.987	0.076	0.069	19.823
84	2.986	0.076	0.087	19.804
85	2.985	0.076	0.064	19.786
86	2.984	0.076	0.081	19.760
87	2.982	0.077	0.106	19.732
88	2.980	0.077	0.087	19.691
89	2.980	0.077	0.062	19.678
90	2.979	0.077	0.075	19.666
91	2.978	0.076	0.062	19.643
92	2.976	0.077	0.087	19.610
93	2.975	0.077	0.119	19.590
94	2.975	0.077	0.069	19.587
95	2.973	0.078	0.131	19.541
96	2.972	0.078	0.100	19.524
97	2.970	0.078	0.144	19.499
98	2.970	0.079	0.087	19.489
99	2.968	0.079	0.094	19.457
100	2.967	0.079	0.075	19.433
101	2.966	0.079	0.075	19.422
