batch	avg_loss	avg_acc	batch_acc	perp
46	2.764	0.100	0.112	15.865
47	2.764	0.100	0.099	15.860
48	2.763	0.101	0.139	15.843
49	2.762	0.101	0.088	15.833
50	2.761	0.101	0.115	15.820
51	2.761	0.101	0.117	15.817
52	2.761	0.102	0.123	15.817
53	2.761	0.102	0.127	15.813
54	2.761	0.102	0.107	15.815
55	2.761	0.103	0.109	15.820
56	2.762	0.103	0.112	15.824
57	2.762	0.103	0.111	15.832
58	2.763	0.103	0.096	15.840
59	2.763	0.103	0.095	15.847
60	2.762	0.102	0.092	15.835
61	2.762	0.102	0.100	15.838
62	2.762	0.102	0.080	15.838
63	2.763	0.102	0.109	15.842
64	2.762	0.102	0.111	15.832
65	2.762	0.102	0.080	15.836
66	2.762	0.102	0.119	15.835
67	2.763	0.102	0.092	15.845
68	2.763	0.102	0.080	15.847
69	2.763	0.102	0.102	15.852
70	2.763	0.102	0.099	15.846
71	2.763	0.102	0.121	15.850
72	2.764	0.102	0.088	15.857
73	2.763	0.102	0.133	15.844
74	2.763	0.103	0.123	15.844
75	2.763	0.103	0.107	15.842
76	2.762	0.103	0.107	15.834
77	2.762	0.103	0.094	15.834
78	2.763	0.103	0.102	15.841
79	2.762	0.103	0.108	15.837
80	2.762	0.102	0.088	15.839
81	2.763	0.102	0.086	15.841
82	2.763	0.102	0.110	15.846
83	2.763	0.102	0.104	15.843
84	2.763	0.102	0.105	15.847
85	2.762	0.103	0.118	15.836
86	2.762	0.103	0.129	15.827
87	2.761	0.103	0.113	15.823
88	2.761	0.103	0.127	15.818
89	2.761	0.103	0.092	15.819
90	2.761	0.103	0.111	15.819
91	2.761	0.103	0.098	15.822
92	2.762	0.103	0.110	15.826
93	2.762	0.103	0.109	15.825
94	2.761	0.103	0.082	15.823
95	2.762	0.103	0.080	15.827
96	2.762	0.103	0.097	15.824
97	2.761	0.103	0.110	15.815
98	2.761	0.103	0.113	15.810
99	2.760	0.103	0.104	15.804
100	2.760	0.103	0.111	15.803
101	2.760	0.103	0.104	15.804
102	2.760	0.103	0.082	15.806
103	2.760	0.103	0.092	15.799
104	2.759	0.103	0.121	15.789
105	2.759	0.103	0.105	15.789
106	2.759	0.103	0.107	15.789
107	2.759	0.103	0.119	15.780
108	2.758	0.103	0.127	15.773
109	2.758	0.103	0.111	15.766
110	2.758	0.103	0.098	15.762
111	2.757	0.104	0.125	15.754
112	2.757	0.104	0.105	15.750
113	2.757	0.103	0.096	15.752
114	2.757	0.103	0.096	15.749
115	2.757	0.103	0.110	15.746
116	2.756	0.103	0.100	15.744
117	2.756	0.103	0.109	15.744
118	2.756	0.103	0.100	15.738
119	2.756	0.103	0.105	15.734
120	2.756	0.103	0.074	15.732
121	2.756	0.103	0.088	15.731
122	2.756	0.103	0.120	15.730
123	2.755	0.103	0.120	15.726
124	2.755	0.103	0.098	15.720
