batch	avg_loss	avg_acc	batch_acc	perp
1	3.960	0.146	0.146	52.463
2	4.106	0.083	0.021	60.675
3	4.005	0.069	0.042	54.875
4	3.917	0.068	0.062	50.255
5	3.781	0.079	0.125	43.847
6	3.697	0.080	0.083	40.318
7	3.601	0.098	0.208	36.651
8	3.540	0.104	0.146	34.459
9	3.502	0.102	0.083	33.185
10	3.449	0.104	0.125	31.483
11	3.428	0.102	0.083	30.812
12	3.393	0.102	0.104	29.744
13	3.389	0.099	0.062	29.627
14	3.366	0.092	0.000	28.950
15	3.359	0.092	0.083	28.761
16	3.348	0.092	0.104	28.445
17	3.337	0.091	0.062	28.135
18	3.317	0.087	0.021	27.583
19	3.288	0.088	0.104	26.786
20	3.278	0.086	0.062	26.526
21	3.279	0.087	0.104	26.536
22	3.264	0.086	0.062	26.156
23	3.243	0.088	0.125	25.622
24	3.230	0.087	0.062	25.280
25	3.222	0.086	0.062	25.075
26	3.202	0.087	0.125	24.585
27	3.182	0.090	0.167	24.103
28	3.177	0.091	0.104	23.979
29	3.166	0.093	0.167	23.723
30	3.152	0.094	0.104	23.393
31	3.141	0.095	0.125	23.132
32	3.134	0.094	0.062	22.955
33	3.128	0.092	0.042	22.826
34	3.124	0.093	0.125	22.739
35	3.125	0.093	0.104	22.752
36	3.121	0.094	0.104	22.672
37	3.111	0.095	0.146	22.453
38	3.105	0.096	0.146	22.309
39	3.098	0.098	0.167	22.163
40	3.091	0.099	0.146	21.993
41	3.087	0.099	0.062	21.908
42	3.079	0.098	0.083	21.742
43	3.073	0.098	0.104	21.609
44	3.066	0.099	0.146	21.461
45	3.063	0.099	0.062	21.397
46	3.056	0.100	0.146	21.240
47	3.054	0.100	0.125	21.202
48	3.048	0.101	0.125	21.073
49	3.048	0.101	0.104	21.063
50	3.041	0.101	0.104	20.926
51	3.039	0.102	0.167	20.889
52	3.034	0.103	0.167	20.771
53	3.031	0.103	0.062	20.725
54	3.024	0.103	0.146	20.577
55	3.021	0.105	0.167	20.502
56	3.019	0.105	0.146	20.468
57	3.019	0.105	0.083	20.464
58	3.015	0.106	0.146	20.390
59	3.013	0.106	0.104	20.355
60	3.006	0.107	0.167	20.206
61	3.001	0.107	0.125	20.116
62	2.998	0.108	0.146	20.055
63	2.995	0.108	0.167	19.993
64	2.991	0.110	0.208	19.905
65	2.990	0.111	0.167	19.893
66	2.987	0.112	0.188	19.823
67	2.984	0.112	0.125	19.772
68	2.982	0.112	0.083	19.725
69	2.979	0.114	0.250	19.668
70	2.977	0.115	0.188	19.619
71	2.975	0.114	0.062	19.585
72	2.974	0.114	0.125	19.564
73	2.969	0.114	0.083	19.471
74	2.969	0.114	0.104	19.472
75	2.966	0.114	0.125	19.407
76	2.964	0.113	0.083	19.381
77	2.965	0.112	0.000	19.403
78	2.964	0.112	0.104	19.375
79	2.963	0.112	0.125	19.355
80	2.963	0.112	0.083	19.357
81	2.963	0.111	0.083	19.355
82	2.963	0.112	0.125	19.346
83	2.960	0.111	0.083	19.297
84	2.957	0.112	0.167	19.233
85	2.959	0.112	0.083	19.276
86	2.957	0.112	0.188	19.237
87	2.954	0.112	0.083	19.190
88	2.953	0.112	0.125	19.167
89	2.950	0.113	0.188	19.112
90	2.948	0.113	0.146	19.060
91	2.946	0.113	0.083	19.030
92	2.946	0.113	0.104	19.024
93	2.947	0.113	0.083	19.040
94	2.947	0.112	0.083	19.043
95	2.944	0.112	0.125	19.000
96	2.943	0.113	0.125	18.980
97	2.941	0.113	0.146	18.939
98	2.941	0.113	0.125	18.940
99	2.939	0.114	0.167	18.895
100	2.937	0.114	0.125	18.866
101	2.939	0.113	0.083	18.903
102	2.939	0.113	0.104	18.888
103	2.936	0.113	0.104	18.847
104	2.935	0.114	0.167	18.819
105	2.934	0.113	0.042	18.799
106	2.933	0.113	0.125	18.789
107	2.932	0.114	0.146	18.762
108	2.931	0.114	0.188	18.738
109	2.929	0.115	0.188	18.702
110	2.927	0.115	0.125	18.677
111	2.927	0.115	0.167	18.679
112	2.926	0.116	0.125	18.652
113	2.925	0.116	0.146	18.634
114	2.925	0.115	0.062	18.628
115	2.923	0.115	0.062	18.595
116	2.923	0.114	0.062	18.594
117	2.920	0.115	0.229	18.538
118	2.920	0.116	0.146	18.544
119	2.919	0.116	0.146	18.524
120	2.917	0.116	0.125	18.489
121	2.917	0.117	0.188	18.479
122	2.916	0.117	0.146	18.470
123	2.912	0.117	0.146	18.395
124	2.910	0.117	0.146	18.359
125	2.909	0.117	0.146	18.337
126	2.908	0.118	0.146	18.314
127	2.907	0.118	0.208	18.298
128	2.907	0.119	0.229	18.294
129	2.905	0.120	0.188	18.269
130	2.904	0.120	0.146	18.245
131	2.904	0.120	0.056	18.247
1	2.725	0.167	0.167	15.261
2	2.734	0.167	0.167	15.397
3	2.743	0.139	0.083	15.529
4	2.764	0.130	0.104	15.869
5	2.762	0.121	0.083	15.824
6	2.763	0.122	0.125	15.843
7	2.788	0.122	0.125	16.241
8	2.789	0.122	0.125	16.272
9	2.787	0.125	0.146	16.226
10	2.785	0.129	0.167	16.206
11	2.781	0.136	0.208	16.136
