batch	avg_loss	avg_acc	batch_acc	perp
12	2.779	0.139	0.167	16.108
13	2.769	0.146	0.229	15.941
14	2.767	0.146	0.146	15.913
15	2.766	0.149	0.188	15.892
16	2.754	0.151	0.188	15.710
17	2.747	0.151	0.146	15.600
18	2.743	0.150	0.146	15.540
19	2.753	0.148	0.104	15.691
20	2.756	0.147	0.125	15.740
21	2.749	0.150	0.208	15.627
22	2.753	0.145	0.042	15.692
23	2.747	0.146	0.167	15.598
24	2.737	0.148	0.188	15.438
25	2.737	0.147	0.125	15.435
26	2.741	0.144	0.083	15.507
27	2.752	0.142	0.083	15.673
28	2.749	0.142	0.146	15.633
29	2.749	0.142	0.125	15.629
30	2.741	0.144	0.208	15.508
31	2.733	0.143	0.125	15.382
32	2.734	0.143	0.125	15.391
33	2.734	0.142	0.125	15.395
34	2.735	0.141	0.104	15.408
35	2.732	0.142	0.188	15.358
36	2.731	0.141	0.083	15.351
37	2.737	0.140	0.104	15.435
38	2.738	0.139	0.104	15.453
39	2.734	0.140	0.188	15.396
40	2.731	0.140	0.146	15.346
41	2.734	0.137	0.021	15.397
42	2.733	0.139	0.229	15.379
43	2.733	0.140	0.146	15.373
44	2.734	0.140	0.146	15.392
45	2.733	0.141	0.208	15.382
46	2.734	0.140	0.104	15.391
47	2.734	0.141	0.146	15.396
48	2.731	0.142	0.208	15.348
49	2.726	0.143	0.208	15.265
50	2.725	0.143	0.125	15.260
51	2.727	0.143	0.146	15.293
52	2.727	0.143	0.146	15.290
53	2.729	0.144	0.208	15.321
54	2.730	0.144	0.125	15.330
55	2.728	0.145	0.229	15.302
56	2.731	0.145	0.125	15.344
57	2.732	0.144	0.062	15.367
58	2.732	0.144	0.188	15.366
59	2.734	0.143	0.042	15.401
60	2.733	0.144	0.250	15.383
61	2.732	0.144	0.125	15.368
62	2.732	0.144	0.125	15.360
63	2.730	0.145	0.188	15.334
64	2.730	0.146	0.229	15.335
65	2.734	0.145	0.062	15.387
66	2.737	0.143	0.042	15.446
67	2.734	0.145	0.271	15.401
68	2.738	0.145	0.125	15.452
69	2.740	0.145	0.146	15.485
70	2.738	0.145	0.146	15.460
71	2.736	0.146	0.208	15.423
72	2.736	0.145	0.125	15.428
73	2.734	0.144	0.083	15.400
74	2.736	0.143	0.042	15.420
75	2.737	0.143	0.125	15.438
76	2.734	0.144	0.208	15.399
77	2.732	0.144	0.146	15.370
78	2.732	0.144	0.167	15.361
79	2.733	0.144	0.146	15.372
80	2.732	0.145	0.188	15.357
81	2.730	0.146	0.250	15.332
82	2.732	0.145	0.083	15.370
83	2.731	0.146	0.208	15.344
84	2.729	0.146	0.167	15.316
85	2.728	0.147	0.229	15.300
86	2.730	0.147	0.104	15.336
87	2.730	0.146	0.083	15.333
88	2.730	0.146	0.146	15.333
89	2.730	0.146	0.146	15.333
90	2.730	0.146	0.167	15.339
91	2.732	0.145	0.083	15.360
92	2.731	0.145	0.104	15.350
93	2.729	0.145	0.167	15.311
94	2.729	0.145	0.146	15.319
95	2.730	0.145	0.083	15.329
96	2.729	0.145	0.167	15.317
97	2.729	0.144	0.083	15.311
98	2.729	0.144	0.125	15.321
99	2.728	0.144	0.167	15.308
100	2.729	0.145	0.188	15.311
101	2.727	0.145	0.208	15.294
102	2.729	0.144	0.062	15.311
103	2.729	0.144	0.146	15.316
104	2.729	0.145	0.188	15.315
105	2.728	0.146	0.271	15.299
106	2.729	0.146	0.125	15.322
107	2.728	0.146	0.188	15.307
108	2.730	0.146	0.125	15.336
109	2.732	0.146	0.146	15.357
110	2.730	0.146	0.188	15.335
111	2.729	0.147	0.167	15.325
112	2.729	0.147	0.188	15.311
113	2.726	0.147	0.167	15.278
114	2.726	0.147	0.167	15.270
115	2.727	0.147	0.083	15.285
116	2.728	0.146	0.083	15.300
117	2.728	0.146	0.146	15.295
118	2.727	0.146	0.167	15.292
119	2.725	0.147	0.229	15.264
120	2.726	0.147	0.167	15.269
121	2.725	0.148	0.250	15.252
122	2.724	0.148	0.083	15.244
123	2.725	0.148	0.167	15.259
124	2.726	0.148	0.167	15.269
125	2.726	0.147	0.104	15.267
126	2.726	0.148	0.167	15.272
127	2.727	0.147	0.083	15.287
128	2.728	0.147	0.146	15.301
129	2.727	0.147	0.188	15.281
130	2.728	0.147	0.104	15.299
131	2.728	0.147	0.167	15.296
1	2.670	0.146	0.146	14.442
2	2.639	0.146	0.146	13.994
3	2.591	0.146	0.146	13.339
4	2.603	0.135	0.104	13.505
5	2.604	0.125	0.083	13.514
6	2.580	0.149	0.271	13.195
7	2.586	0.161	0.229	13.280
8	2.615	0.159	0.146	13.669
9	2.612	0.164	0.208	13.629
10	2.623	0.165	0.167	13.782
11	2.621	0.163	0.146	13.755
12	2.627	0.161	0.146	13.838
13	2.636	0.162	0.167	13.963
14	2.642	0.161	0.146	14.041
15	2.642	0.162	0.188	14.041
16	2.636	0.163	0.167	13.960
17	2.638	0.163	0.167	13.984
18	2.648	0.161	0.125	14.125
19	2.645	0.167	0.271	14.086
20	2.638	0.172	0.271	13.979
21	2.631	0.171	0.146	13.894
22	2.638	0.170	0.167	13.987
23	2.640	0.171	0.188	14.016
24	2.636	0.170	0.146	13.962
25	2.631	0.171	0.188	13.894
26	2.629	0.172	0.208	13.859
27	2.630	0.170	0.104	13.873
28	2.628	0.172	0.229	13.839
29	2.628	0.172	0.167	13.840
30	2.630	0.171	0.146	13.879
31	2.627	0.171	0.167	13.832
32	2.629	0.169	0.125	13.867
33	2.640	0.168	0.125	14.020
34	2.631	0.172	0.292	13.892
35	2.636	0.171	0.146	13.951
36	2.636	0.169	0.104	13.951
37	2.638	0.169	0.188	13.990
38	2.642	0.168	0.125	14.041
39	2.639	0.168	0.167	14.005
40	2.641	0.167	0.125	14.033
41	2.643	0.166	0.125	14.050
42	2.648	0.166	0.146	14.120
43	2.647	0.166	0.167	14.108
44	2.650	0.163	0.042	14.152
45	2.652	0.163	0.167	14.184
46	2.651	0.164	0.229	14.175
47	2.654	0.163	0.104	14.211
48	2.652	0.163	0.167	14.186
49	2.650	0.163	0.146	14.148
50	2.652	0.163	0.188	14.176
51	2.652	0.163	0.167	14.189
52	2.652	0.164	0.208	14.186
53	2.650	0.164	0.167	14.148
54	2.648	0.166	0.250	14.127
55	2.649	0.166	0.188	14.139
56	2.650	0.166	0.146	14.152
57	2.654	0.165	0.104	14.217
58	2.655	0.164	0.125	14.231
59	2.655	0.164	0.146	14.223
60	2.652	0.165	0.229	14.182
61	2.653	0.165	0.188	14.192
62	2.653	0.166	0.188	14.203
63	2.655	0.165	0.125	14.231
64	2.656	0.166	0.229	14.241
65	2.658	0.166	0.167	14.274
66	2.657	0.166	0.167	14.255
67	2.657	0.166	0.188	14.251
68	2.655	0.167	0.208	14.219
69	2.654	0.166	0.104	14.213
70	2.656	0.165	0.083	14.233
71	2.656	0.165	0.167	14.245
72	2.655	0.166	0.229	14.218
73	2.654	0.166	0.146	14.208
74	2.657	0.165	0.104	14.247
75	2.658	0.164	0.104	14.263
76	2.656	0.164	0.188	14.240
77	2.659	0.164	0.146	14.285
78	2.661	0.164	0.146	14.306
79	2.662	0.162	0.042	14.330
80	2.661	0.163	0.208	14.312
81	2.660	0.163	0.146	14.303
82	2.662	0.163	0.167	14.329
83	2.664	0.163	0.167	14.358
84	2.665	0.162	0.146	14.367
85	2.666	0.162	0.146	14.383
86	2.665	0.162	0.167	14.371
87	2.667	0.162	0.146	14.402
88	2.666	0.162	0.188	14.376
89	2.667	0.162	0.167	14.394
90	2.668	0.162	0.083	14.413
91	2.670	0.160	0.062	14.447
92	2.669	0.161	0.229	14.419
93	2.668	0.162	0.188	14.414
94	2.667	0.162	0.229	14.392
95	2.667	0.161	0.083	14.401
96	2.666	0.161	0.167	14.382
97	2.665	0.161	0.125	14.365
98	2.665	0.161	0.104	14.368
99	2.664	0.160	0.104	14.347
100	2.663	0.160	0.125	14.336
101	2.663	0.159	0.104	14.337
102	2.663	0.159	0.146	14.336
103	2.662	0.159	0.208	14.319
104	2.662	0.160	0.188	14.318
105	2.661	0.160	0.229	14.309
106	2.661	0.160	0.125	14.310
107	2.661	0.160	0.167	14.313
108	2.662	0.160	0.146	14.325
109	2.661	0.160	0.188	14.306
110	2.660	0.161	0.229	14.293
111	2.659	0.160	0.125	14.282
112	2.659	0.161	0.208	14.278
113	2.657	0.162	0.292	14.249
114	2.656	0.162	0.146	14.241
115	2.656	0.162	0.188	14.241
116	2.657	0.162	0.125	14.248
117	2.656	0.162	0.167	14.246
118	2.656	0.162	0.125	14.241
119	2.657	0.160	0.021	14.258
120	2.658	0.160	0.104	14.266
121	2.659	0.160	0.146	14.276
122	2.660	0.159	0.083	14.290
123	2.660	0.159	0.146	14.300
124	2.660	0.159	0.188	14.295
125	2.661	0.159	0.125	14.308
126	2.660	0.159	0.146	14.296
127	2.659	0.159	0.125	14.285
128	2.660	0.158	0.125	14.292
129	2.658	0.159	0.208	14.270
130	2.658	0.159	0.208	14.270
131	2.658	0.159	0.222	14.271
