Epoch 1 TRAIN
batch	avg_loss	avg_acc	batch_acc	perp
43	2.261	0.211	0.188	9.595
44	2.261	0.210	0.188	9.594
45	2.261	0.211	0.250	9.589
46	2.273	0.208	0.062	9.712
47	2.282	0.209	0.250	9.801
48	2.277	0.211	0.312	9.747
49	2.269	0.214	0.375	9.666
50	2.281	0.212	0.125	9.783
51	2.276	0.214	0.312	9.734
52	2.274	0.218	0.375	9.718
53	2.275	0.219	0.312	9.724
54	2.275	0.223	0.438	9.728
55	2.278	0.222	0.125	9.753
56	2.275	0.220	0.125	9.732
57	2.276	0.219	0.188	9.737
58	2.274	0.220	0.250	9.722
59	2.277	0.218	0.125	9.746
60	2.281	0.218	0.188	9.785
61	2.281	0.217	0.188	9.783
62	2.278	0.218	0.250	9.754
63	2.275	0.216	0.125	9.729
64	2.275	0.215	0.125	9.729
65	2.274	0.215	0.250	9.721
66	2.278	0.213	0.062	9.761
67	2.274	0.214	0.250	9.721
68	2.281	0.214	0.250	9.785
69	2.290	0.212	0.062	9.872
70	2.294	0.212	0.188	9.910
71	2.298	0.211	0.188	9.954
72	2.298	0.212	0.250	9.953
73	2.299	0.210	0.062	9.968
74	2.295	0.209	0.125	9.923
75	2.296	0.209	0.250	9.938
76	2.290	0.211	0.312	9.870
77	2.292	0.213	0.375	9.890
78	2.298	0.211	0.062	9.955
79	2.294	0.213	0.375	9.910
80	2.294	0.212	0.125	9.919
81	2.298	0.209	0.000	9.951
82	2.298	0.209	0.188	9.958
83	2.298	0.209	0.250	9.956
84	2.302	0.208	0.125	9.997
85	2.302	0.206	0.000	9.994
86	2.305	0.206	0.188	10.029
87	2.305	0.204	0.062	10.020
88	2.303	0.203	0.125	10.000
89	2.306	0.202	0.125	10.035
90	2.298	0.205	0.438	9.952
91	2.294	0.206	0.312	9.913
92	2.293	0.207	0.250	9.909
93	2.299	0.206	0.125	9.960
94	2.301	0.205	0.125	9.983
95	2.304	0.205	0.250	10.015
96	2.308	0.205	0.188	10.054
97	2.309	0.206	0.250	10.068
98	2.312	0.205	0.188	10.094
99	2.316	0.205	0.188	10.136
100	2.317	0.205	0.188	10.146
101	2.315	0.206	0.312	10.125
102	2.316	0.205	0.062	10.135
103	2.315	0.204	0.188	10.130
104	2.313	0.204	0.188	10.103
105	2.311	0.204	0.125	10.087
106	2.319	0.203	0.188	10.162
107	2.316	0.203	0.125	10.132
108	2.311	0.205	0.500	10.089
109	2.313	0.205	0.125	10.100
110	2.312	0.205	0.188	10.091
111	2.308	0.205	0.250	10.054
112	2.306	0.205	0.250	10.034
113	2.310	0.205	0.188	10.072
114	2.306	0.206	0.250	10.037
115	2.307	0.205	0.188	10.047
116	2.309	0.206	0.312	10.069
117	2.307	0.206	0.125	10.040
118	2.308	0.205	0.125	10.050
119	2.310	0.204	0.125	10.073
120	2.309	0.205	0.250	10.061
121	2.307	0.206	0.375	10.048
122	2.305	0.206	0.250	10.022
