batch	avg_loss	avg_acc	batch_acc	perp
1	3.996	0.050	0.050	54.393
2	3.776	0.063	0.075	43.624
3	3.725	0.071	0.087	41.451
4	3.689	0.063	0.038	39.995
5	3.629	0.063	0.062	37.679
6	3.547	0.067	0.087	34.707
7	3.494	0.068	0.075	32.920
8	3.444	0.070	0.087	31.313
9	3.413	0.068	0.050	30.341
10	3.388	0.068	0.062	29.602
11	3.363	0.070	0.100	28.878
12	3.330	0.071	0.075	27.928
13	3.310	0.068	0.038	27.396
14	3.287	0.069	0.075	26.771
15	3.271	0.068	0.062	26.327
16	3.258	0.070	0.100	25.995
17	3.245	0.069	0.050	25.669
18	3.230	0.075	0.175	25.287
19	3.221	0.076	0.087	25.042
20	3.209	0.077	0.100	24.749
21	3.198	0.074	0.025	24.492
22	3.184	0.076	0.100	24.154
23	3.175	0.074	0.038	23.931
24	3.158	0.076	0.112	23.519
25	3.153	0.076	0.087	23.398
26	3.145	0.077	0.112	23.226
27	3.140	0.078	0.087	23.105
28	3.139	0.078	0.075	23.073
29	3.137	0.077	0.062	23.028
30	3.130	0.078	0.100	22.868
31	3.126	0.077	0.050	22.789
32	3.124	0.077	0.062	22.741
33	3.116	0.077	0.100	22.561
34	3.108	0.079	0.125	22.374
35	3.100	0.079	0.100	22.204
36	3.096	0.078	0.050	22.105
37	3.088	0.079	0.112	21.940
38	3.083	0.080	0.112	21.817
39	3.081	0.080	0.087	21.789
40	3.079	0.080	0.062	21.734
41	3.073	0.080	0.100	21.612
42	3.066	0.080	0.075	21.463
43	3.064	0.079	0.025	21.408
44	3.062	0.079	0.075	21.374
45	3.058	0.080	0.125	21.289
46	3.054	0.081	0.138	21.209
47	3.051	0.082	0.112	21.142
48	3.048	0.083	0.138	21.069
49	3.046	0.083	0.087	21.024
50	3.047	0.082	0.025	21.045
51	3.041	0.083	0.112	20.934
52	3.039	0.083	0.112	20.883
53	3.037	0.083	0.100	20.844
54	3.034	0.083	0.050	20.781
55	3.032	0.082	0.051	20.747
56	3.032	0.081	0.038	20.743
57	3.030	0.081	0.062	20.694
58	3.029	0.082	0.112	20.673
59	3.026	0.082	0.125	20.607
60	3.023	0.082	0.075	20.557
61	3.021	0.082	0.087	20.511
62	3.016	0.083	0.112	20.413
63	3.013	0.083	0.075	20.353
64	3.008	0.084	0.162	20.248
65	3.007	0.084	0.087	20.224
66	3.006	0.085	0.138	20.199
67	3.004	0.085	0.125	20.167
68	3.004	0.085	0.075	20.161
69	3.001	0.085	0.087	20.111
70	3.000	0.085	0.087	20.084
71	2.999	0.085	0.038	20.075
72	2.999	0.085	0.112	20.059
73	2.996	0.085	0.075	20.012
74	2.996	0.086	0.138	20.011
75	2.995	0.086	0.125	19.980
76	2.993	0.087	0.112	19.944
77	2.994	0.086	0.050	19.969
78	2.991	0.087	0.162	19.913
79	2.989	0.088	0.150	19.866
80	2.987	0.088	0.062	19.829
81	2.986	0.087	0.050	19.805
82	2.985	0.087	0.100	19.791
83	2.984	0.087	0.075	19.766
84	2.982	0.087	0.112	19.730
85	2.980	0.088	0.100	19.694
86	2.979	0.088	0.125	19.667
87	2.978	0.088	0.087	19.650
88	2.976	0.088	0.112	19.614
89	2.974	0.088	0.100	19.575
90	2.972	0.088	0.087	19.534
91	2.971	0.088	0.100	19.504
92	2.969	0.088	0.062	19.475
93	2.967	0.088	0.112	19.432
94	2.966	0.088	0.075	19.410
95	2.964	0.089	0.112	19.374
96	2.963	0.089	0.087	19.347
97	2.961	0.089	0.125	19.327
98	2.960	0.089	0.112	19.305
99	2.958	0.090	0.150	19.267
100	2.957	0.090	0.138	19.249
101	2.956	0.090	0.112	19.217
102	2.955	0.090	0.075	19.199
103	2.954	0.090	0.062	19.189
104	2.953	0.090	0.100	19.168
105	2.952	0.090	0.125	19.153
106	2.952	0.091	0.100	19.144
107	2.951	0.091	0.100	19.123
108	2.950	0.091	0.150	19.099
109	2.948	0.091	0.100	19.072
110	2.947	0.091	0.087	19.047
111	2.946	0.091	0.075	19.036
112	2.946	0.092	0.138	19.022
113	2.945	0.092	0.138	19.005
114	2.943	0.092	0.100	18.977
115	2.943	0.092	0.112	18.965
116	2.941	0.092	0.125	18.942
117	2.941	0.092	0.075	18.940
118	2.940	0.092	0.087	18.914
119	2.939	0.092	0.075	18.896
120	2.939	0.093	0.138	18.890
121	2.938	0.092	0.075	18.876
122	2.938	0.092	0.050	18.878
123	2.937	0.092	0.100	18.858
124	2.936	0.092	0.112	18.849
125	2.936	0.092	0.087	18.849
126	2.935	0.092	0.125	18.820
127	2.934	0.093	0.125	18.797
