batch	avg_loss	avg_acc	batch_acc	perp
128	2.934	0.092	0.062	18.796
129	2.933	0.093	0.162	18.783
130	2.932	0.093	0.112	18.758
131	2.931	0.093	0.033	18.756
1	2.825	0.112	0.112	16.868
2	2.767	0.106	0.100	15.912
3	2.797	0.117	0.138	16.389
4	2.809	0.113	0.100	16.599
5	2.782	0.123	0.165	16.151
6	2.765	0.127	0.150	15.886
7	2.773	0.125	0.112	16.003
8	2.775	0.124	0.112	16.032
9	2.767	0.125	0.138	15.907
10	2.786	0.123	0.100	16.209
11	2.785	0.125	0.150	16.195
12	2.775	0.123	0.100	16.036
13	2.767	0.124	0.138	15.906
14	2.762	0.123	0.112	15.837
15	2.768	0.120	0.075	15.930
16	2.773	0.121	0.138	16.014
17	2.781	0.120	0.100	16.136
18	2.782	0.122	0.162	16.153
19	2.791	0.120	0.087	16.302
20	2.791	0.120	0.112	16.290
21	2.791	0.117	0.062	16.296
22	2.790	0.115	0.075	16.288
23	2.790	0.117	0.150	16.273
24	2.790	0.115	0.075	16.278
25	2.788	0.116	0.138	16.247
26	2.787	0.115	0.100	16.226
27	2.786	0.116	0.125	16.216
28	2.786	0.117	0.138	16.222
29	2.788	0.117	0.138	16.250
30	2.786	0.117	0.112	16.222
31	2.784	0.119	0.188	16.176
32	2.788	0.118	0.075	16.245
33	2.791	0.119	0.150	16.296
34	2.792	0.118	0.075	16.312
35	2.794	0.118	0.112	16.340
36	2.792	0.118	0.150	16.312
37	2.793	0.118	0.087	16.334
38	2.790	0.119	0.162	16.275
39	2.788	0.119	0.125	16.253
40	2.789	0.119	0.125	16.259
41	2.790	0.118	0.075	16.274
42	2.787	0.118	0.100	16.225
43	2.786	0.118	0.150	16.223
44	2.787	0.118	0.100	16.236
45	2.789	0.118	0.125	16.270
46	2.788	0.119	0.138	16.248
47	2.790	0.117	0.038	16.284
48	2.789	0.117	0.138	16.263
49	2.788	0.117	0.112	16.251
50	2.788	0.117	0.112	16.254
51	2.788	0.117	0.138	16.244
52	2.788	0.118	0.138	16.242
53	2.785	0.118	0.138	16.207
54	2.786	0.118	0.100	16.214
55	2.787	0.118	0.138	16.233
56	2.789	0.118	0.125	16.267
57	2.788	0.119	0.150	16.247
58	2.790	0.118	0.062	16.275
59	2.789	0.117	0.062	16.264
60	2.790	0.116	0.087	16.273
61	2.790	0.116	0.112	16.286
62	2.789	0.117	0.138	16.266
63	2.787	0.117	0.138	16.239
64	2.787	0.118	0.175	16.229
65	2.786	0.118	0.112	16.210
66	2.785	0.118	0.100	16.197
67	2.784	0.118	0.150	16.189
68	2.786	0.117	0.075	16.211
69	2.785	0.117	0.112	16.207
70	2.784	0.118	0.125	16.181
71	2.784	0.118	0.125	16.187
72	2.787	0.117	0.087	16.225
73	2.787	0.118	0.162	16.232
74	2.787	0.118	0.138	16.236
75	2.788	0.119	0.175	16.242
76	2.788	0.119	0.125	16.256
77	2.789	0.119	0.087	16.271
78	2.789	0.119	0.188	16.263
79	2.787	0.119	0.100	16.235
80	2.787	0.119	0.125	16.234
81	2.787	0.119	0.125	16.230
82	2.788	0.119	0.100	16.246
83	2.788	0.119	0.100	16.254
84	2.788	0.119	0.138	16.250
85	2.788	0.119	0.100	16.251
86	2.787	0.118	0.062	16.238
87	2.790	0.118	0.100	16.273
88	2.789	0.117	0.075	16.265
89	2.789	0.117	0.112	16.258
90	2.788	0.117	0.100	16.249
91	2.787	0.117	0.087	16.233
92	2.786	0.118	0.188	16.210
93	2.786	0.117	0.075	16.210
94	2.785	0.117	0.100	16.208
95	2.786	0.117	0.112	16.219
96	2.786	0.118	0.188	16.211
97	2.785	0.118	0.112	16.202
98	2.785	0.118	0.150	16.203
99	2.784	0.118	0.162	16.185
100	2.785	0.118	0.112	16.196
101	2.786	0.118	0.100	16.213
102	2.785	0.118	0.138	16.195
103	2.785	0.119	0.138	16.196
104	2.784	0.119	0.112	16.180
105	2.784	0.119	0.125	16.185
106	2.783	0.119	0.162	16.168
107	2.784	0.119	0.100	16.176
108	2.784	0.119	0.100	16.189
109	2.783	0.119	0.112	16.173
110	2.783	0.119	0.175	16.166
111	2.783	0.119	0.062	16.163
112	2.782	0.119	0.138	16.152
113	2.782	0.119	0.112	16.154
114	2.782	0.118	0.075	16.153
115	2.783	0.118	0.087	16.168
116	2.783	0.118	0.112	16.166
117	2.783	0.118	0.112	16.165
118	2.781	0.118	0.112	16.143
119	2.782	0.118	0.075	16.154
120	2.782	0.117	0.087	16.153
121	2.782	0.117	0.112	16.148
122	2.782	0.117	0.125	16.155
123	2.782	0.118	0.150	16.153
124	2.782	0.117	0.100	16.154
125	2.782	0.117	0.100	16.158
126	2.780	0.118	0.175	16.126
127	2.780	0.118	0.125	16.126
128	2.780	0.118	0.138	16.116
129	2.779	0.118	0.162	16.096
130	2.778	0.118	0.087	16.091
131	2.778	0.118	0.100	16.092
1	2.654	0.175	0.175	14.204
2	2.729	0.131	0.087	15.311
3	2.751	0.112	0.075	15.657
4	2.744	0.112	0.112	15.545
5	2.726	0.117	0.138	15.276
6	2.721	0.119	0.125	15.202
7	2.728	0.114	0.087	15.309
8	2.735	0.111	0.087	15.414
9	2.726	0.106	0.062	15.274
10	2.738	0.102	0.075	15.461
11	2.740	0.105	0.125	15.481
12	2.746	0.106	0.125	15.582
13	2.742	0.112	0.188	15.520
14	2.746	0.108	0.050	15.584
15	2.750	0.104	0.050	15.644
16	2.749	0.102	0.075	15.632
17	2.750	0.103	0.112	15.647
18	2.752	0.106	0.150	15.669
19	2.746	0.107	0.125	15.580
20	2.745	0.110	0.175	15.563
21	2.745	0.111	0.138	15.558
22	2.748	0.110	0.087	15.604
23	2.751	0.110	0.100	15.663
24	2.747	0.111	0.138	15.601
25	2.755	0.109	0.062	15.717
26	2.759	0.110	0.138	15.777
27	2.754	0.112	0.162	15.706
28	2.755	0.113	0.138	15.722
29	2.757	0.112	0.075	15.749
30	2.758	0.110	0.062	15.762
31	2.760	0.109	0.087	15.797
32	2.764	0.108	0.062	15.864
33	2.763	0.108	0.125	15.840
34	2.764	0.107	0.075	15.857
35	2.765	0.106	0.075	15.871
36	2.760	0.107	0.125	15.805
37	2.761	0.108	0.138	15.809
38	2.762	0.108	0.100	15.837
39	2.762	0.108	0.112	15.829
40	2.764	0.107	0.087	15.865
41	2.763	0.109	0.162	15.849
42	2.765	0.109	0.138	15.878
43	2.765	0.109	0.112	15.871
44	2.763	0.110	0.125	15.848
45	2.767	0.109	0.087	15.907
46	2.765	0.109	0.100	15.878
47	2.764	0.110	0.138	15.864
48	2.763	0.110	0.112	15.855
49	2.763	0.110	0.125	15.843
50	2.764	0.110	0.100	15.859
51	2.764	0.110	0.138	15.861
52	2.764	0.110	0.112	15.862
53	2.763	0.111	0.138	15.845
54	2.762	0.111	0.125	15.830
55	2.760	0.112	0.150	15.806
56	2.758	0.113	0.150	15.775
57	2.757	0.113	0.162	15.754
58	2.757	0.113	0.100	15.754
59	2.756	0.115	0.213	15.744
60	2.757	0.115	0.138	15.747
61	2.756	0.116	0.138	15.733
62	2.758	0.115	0.100	15.770
63	2.758	0.115	0.112	15.771
64	2.758	0.115	0.125	15.775
65	2.759	0.115	0.112	15.784
66	2.757	0.116	0.150	15.759
67	2.758	0.116	0.125	15.769
68	2.758	0.116	0.112	15.765
69	2.758	0.115	0.075	15.766
70	2.756	0.116	0.162	15.736
71	2.757	0.115	0.062	15.752
72	2.757	0.116	0.138	15.747
73	2.755	0.116	0.112	15.729
74	2.756	0.116	0.112	15.734
75	2.754	0.116	0.162	15.708
76	2.755	0.116	0.125	15.714
77	2.754	0.116	0.112	15.704
78	2.753	0.116	0.127	15.693
79	2.754	0.116	0.075	15.713
80	2.756	0.115	0.050	15.740
81	2.755	0.115	0.112	15.727
82	2.754	0.115	0.150	15.712
83	2.753	0.116	0.162	15.695
84	2.751	0.116	0.112	15.665
85	2.750	0.117	0.175	15.650
86	2.750	0.116	0.075	15.648
87	2.749	0.116	0.138	15.634
88	2.749	0.117	0.188	15.625
89	2.750	0.117	0.112	15.649
90	2.750	0.117	0.100	15.644
91	2.749	0.117	0.112	15.632
92	2.750	0.117	0.112	15.650
93	2.749	0.117	0.138	15.626
94	2.748	0.118	0.175	15.612
95	2.750	0.117	0.075	15.636
96	2.750	0.117	0.112	15.646
97	2.750	0.117	0.100	15.642
98	2.749	0.117	0.087	15.628
99	2.750	0.117	0.100	15.635
100	2.749	0.116	0.075	15.632
101	2.749	0.116	0.125	15.629
102	2.749	0.116	0.125	15.628
103	2.749	0.116	0.062	15.633
104	2.749	0.116	0.100	15.626
105	2.749	0.115	0.075	15.620
106	2.747	0.116	0.175	15.599
107	2.746	0.116	0.112	15.580
108	2.747	0.116	0.100	15.590
109	2.746	0.116	0.162	15.585
110	2.747	0.116	0.125	15.589
111	2.746	0.116	0.112	15.582
112	2.745	0.117	0.175	15.562
113	2.744	0.117	0.162	15.548
114	2.744	0.116	0.050	15.551
115	2.745	0.116	0.062	15.561
116	2.744	0.116	0.125	15.544
117	2.742	0.116	0.138	15.525
118	2.741	0.117	0.188	15.510
119	2.742	0.117	0.150	15.512
120	2.740	0.118	0.213	15.489
121	2.739	0.118	0.150	15.473
122	2.737	0.119	0.237	15.448
123	2.737	0.119	0.138	15.445
124	2.738	0.119	0.087	15.451
125	2.738	0.119	0.150	15.450
126	2.737	0.120	0.162	15.438
127	2.737	0.120	0.112	15.443
128	2.737	0.120	0.162	15.435
129	2.736	0.120	0.138	15.427
130	2.737	0.120	0.138	15.434
131	2.737	0.120	0.067	15.433
